event_time,event_type
2018-04-18 18:35:01,0
2018-04-18 18:30:15,1
2018-04-18 18:28:38,0
2018-04-18 18:14:16,1
2018-04-18 18:11:30,0
2018-04-18 18:10:22,1
2018-04-18 18:08:37,0
2018-04-18 18:08:30,1
2018-04-18 18:04:24,0
2018-04-18 18:01:29,1
2018-04-18 18:00:24,0
2018-04-18 17:57:08,1
2018-04-18 17:55:56,0
2018-04-18 17:55:15,1
2018-04-18 17:52:59,0
2018-04-18 17:52:53,1
2018-04-18 17:50:46,0
2018-04-18 17:49:38,1
2018-04-18 17:46:47,0
2018-04-18 17:46:12,1
2018-04-18 17:27:18,0
2018-04-18 17:26:20,1
2018-04-18 17:24:43,0
2018-04-18 17:12:43,1
2018-04-18 17:11:31,0
2018-04-18 16:56:01,1
2018-04-18 16:54:32,0
2018-04-18 16:40:05,1
2018-04-18 16:38:23,0
2018-04-18 16:36:43,1
2018-04-18 16:35:28,0
2018-04-18 15:58:31,1
2018-04-18 15:57:28,0
2018-04-18 15:47:35,1
2018-04-18 15:45:49,0
2018-04-18 15:45:48,1
2018-04-18 15:43:03,0
2018-04-18 15:37:54,1
2018-04-18 15:23:59,0
2018-04-18 15:23:22,1
2018-04-18 15:10:55,0
2018-04-18 15:08:38,1
2018-04-18 15:06:05,0
2018-04-18 15:05:57,1
2018-04-18 15:01:44,0
2018-04-18 15:01:10,1
2018-04-18 13:57:21,0
2018-04-18 13:31:32,1
2018-04-18 13:29:48,0
2018-04-18 13:14:33,1
2018-04-18 13:09:48,0
2018-04-18 13:01:57,1
2018-04-18 13:00:47,0
2018-04-18 12:52:18,1
2018-04-18 12:50:34,0
2018-04-18 12:38:15,1
2018-04-18 12:37:11,0
2018-04-18 12:35:01,1
2018-04-18 12:33:52,0
2018-04-18 12:33:35,1
2018-04-18 12:32:03,0
2018-04-18 12:28:40,1
2018-04-18 12:26:07,0
2018-04-18 12:05:42,1
2018-04-18 11:58:11,0
2018-04-18 11:40:04,1
2018-04-18 11:38:23,0
2018-04-18 11:24:52,1
2018-04-18 11:23:46,0
2018-04-18 11:20:42,1
2018-04-18 11:18:58,0
2018-04-18 10:50:37,1
2018-04-18 10:49:31,0
2018-04-18 10:27:48,1
2018-04-18 10:13:48,0
2018-04-18 10:09:09,1
2018-04-18 10:01:27,0
2018-04-18 10:00:45,1
2018-04-18 09:58:40,0
2018-04-18 09:53:50,1
2018-04-18 09:52:29,0
2018-04-18 09:50:50,1
2018-04-18 09:49:38,0
2018-04-18 09:49:21,1
2018-04-18 09:45:58,0
2018-04-18 09:44:33,1
2018-04-18 08:53:48,0
2018-04-18 08:44:43,1
2018-04-18 08:41:49,0
2018-04-18 08:37:45,1
2018-04-18 08:30:41,0
2018-04-18 08:27:35,1
2018-04-18 08:25:46,0
2018-04-18 08:25:30,1
2018-04-18 08:24:18,0
2018-04-18 08:24:03,1
2018-04-19 18:38:39,0
2018-04-19 18:29:17,1
2018-04-19 18:23:43,0
2018-04-19 18:17:54,1
2018-04-19 18:15:04,0
2018-04-19 18:14:45,1
2018-04-19 18:09:26,0
2018-04-19 17:49:42,1
2018-04-19 17:45:08,0
2018-04-19 17:16:00,1
2018-04-19 17:13:53,0
2018-04-19 17:13:36,1
2018-04-19 16:56:07,0
2018-04-19 16:38:04,1
2018-04-19 16:34:22,0
2018-04-19 16:24:21,1
2018-04-19 16:21:41,0
2018-04-19 15:55:21,1
2018-04-19 15:52:49,0
2018-04-19 15:05:19,1
2018-04-19 15:02:31,0
2018-04-19 15:01:08,1
2018-04-19 13:59:39,0
2018-04-19 13:51:57,1
2018-04-19 13:48:11,0
2018-04-19 13:47:01,1
2018-04-19 13:42:31,0
2018-04-19 13:21:04,1
2018-04-19 13:18:43,0
2018-04-19 12:11:16,1
2018-04-19 12:08:29,0
2018-04-19 11:29:37,1
2018-04-19 11:26:03,0
2018-04-19 11:24:29,1
2018-04-19 11:22:00,0
2018-04-19 11:21:22,1
2018-04-19 11:08:35,0
2018-04-19 10:54:16,1
2018-04-19 10:52:15,0
2018-04-19 10:30:48,1
2018-04-19 10:28:38,0
2018-04-19 09:59:25,1
2018-04-19 09:56:35,0
2018-04-19 09:55:02,1
2018-04-19 09:51:28,0
2018-04-19 09:44:11,1
2018-04-19 09:40:16,0
2018-04-19 09:28:29,1
2018-04-19 09:26:28,0
2018-04-19 09:22:31,1
2018-04-19 09:19:11,0
2018-04-19 08:16:25,1
2018-04-20 18:38:38,0
2018-04-20 18:33:29,1
2018-04-20 18:21:19,0
2018-04-20 16:50:34,1
2018-04-20 16:48:34,0
2018-04-20 15:30:41,1
2018-04-20 15:27:54,0
2018-04-20 15:15:13,1
2018-04-20 15:13:11,0
2018-04-20 15:05:12,1
2018-04-20 15:02:30,0
2018-04-20 15:00:18,1
2018-04-20 13:59:27,0
2018-04-20 13:52:15,1
2018-04-20 13:49:45,0
2018-04-20 13:48:21,1
2018-04-20 13:45:50,0
2018-04-20 13:19:13,1
2018-04-20 13:06:23,0
2018-04-20 12:19:46,1
2018-04-20 12:15:41,0
2018-04-20 12:11:22,1
2018-04-20 12:07:02,0
2018-04-20 12:05:37,1
2018-04-20 12:02:39,0
2018-04-20 11:45:58,1
2018-04-20 11:43:08,0
2018-04-20 11:28:44,1
2018-04-20 11:26:25,0
2018-04-20 11:18:37,1
